eq,label
阿尔塞特克斯特种效应弹,爆炸物
GL-303式小神鹰,爆炸物
M-DN11式,爆炸物
西玛,爆炸物
NR423式,爆炸物
HG84式,爆炸物
MB-502式,爆炸物
HG86式,爆炸物
M3式,爆炸物
HG69式,爆炸物
MCT15型非触发沉底雷,爆炸物
Mk57,爆炸物
Mk12,爆炸物
Mk8/11,爆炸物
Mk5,爆炸物
“蓝色多瑙河”,爆炸物
AN11/22,爆炸物
AN51/52,爆炸物
PДC-1/2/3,爆炸物
MR41,爆炸物
Mk系列,爆炸物
空射巡航导弹热核战斗部,爆炸物
WE177,爆炸物
Mk 4,爆炸物
M67,爆炸物
59式反步兵地雷,爆炸物
72式反步兵跳雷,爆炸物
58式反步兵地雷,爆炸物
九九式手榴弹,爆炸物
72式塑料壳反坦克地雷,爆炸物
66式反步兵定向地雷,爆炸物
GLD260,爆炸物
69式反步兵跳雷,爆炸物
GLD220,爆炸物
M18A1阔刀地雷,爆炸物
TMK－2,爆炸物
72式金属壳反坦克地雷,爆炸物
“小男孩”,爆炸物
W48,爆炸物
“胖子”,爆炸物
W44,爆炸物
W34,爆炸物
W25,爆炸物
W30,爆炸物
“红须”,爆炸物
MAHF1,爆炸物
DM24,爆炸物
“突击队员”,爆炸物
17/4C“巨型猎枪”,爆炸物
战区定向防御地雷,爆炸物
M72,爆炸物
GLD214,爆炸物
HPDF1,爆炸物
M14,爆炸物
MON-100,爆炸物
M25,爆炸物
MON-200,爆炸物
GLD150防步兵地雷,爆炸物
M24,爆炸物
AT－2,爆炸物
M19,爆炸物
BLU－91/B,爆炸物
L9A1,爆炸物
IMP,爆炸物
TCE/3－6,爆炸物
TM－46,爆炸物
FFV－028,爆炸物
PARM－1,爆炸物
FSA－ATM,爆炸物
SB－MV/T,爆炸物
B61,爆炸物
马特拉200/SFA,爆炸物
B43,爆炸物
GBU-27/28激光制导侵彻炸弹,爆炸物
GBU-15模式制导滑翔炸弹,爆炸物
B-28,爆炸物
KAB-500型精确制导炸弹,爆炸物
雷霆-2激光制导炸弹(LT-2),爆炸物
CBU-59/B子母炸弹,爆炸物
AGM-154“联合防区外武器”,爆炸物
增强X射线弹,爆炸物
“宝石路”系列激光制导炸弹,爆炸物
JDAM精确制导炸弹,爆炸物
XM-753,爆炸物
核电磁脉冲弹,爆炸物
W70-3,爆炸物
“黄太阳”,爆炸物
“北极星”,爆炸物
Mk/B系列,爆炸物
巡航导弹热核战斗部,爆炸物
53-65KE反舰鱼雷,爆炸物
洲际弹道导弹热核弹头,爆炸物
F17,爆炸物
冲击波弹,爆炸物
核爆激励X射线激光器,爆炸物
鱼-7反潜鱼雷（美版MK46),爆炸物
“蓝剑”,爆炸物
鱼-4型鱼雷,爆炸物
Mk 14型鱼雷,爆炸物
TP45,爆炸物
鱼-1型鱼雷,爆炸物
鱼-2型鱼雷,爆炸物
鱼-5型鱼雷,爆炸物
鱼-6型鱼雷,爆炸物
鱼-3型鱼雷,爆炸物
SUT,爆炸物
怪兽,爆炸物
阿塔普-1000,爆炸物
威布,爆炸物
250/500/1500/3000kg3型,爆炸物
塔尔1/2,爆炸物
250/500/1500/3000kg2型,爆炸物
斯布,爆炸物
姆伍-1,爆炸物
断头台（Guillotine）,爆炸物
超十字制动伞（SBRPS）,爆炸物
金字塔（Pyramid）,爆炸物
丹尼尔（Denel）,爆炸物
阿赛马（Aserma）,爆炸物
奥法尔（Opher）,爆炸物
姆德斯,爆炸物
РБK-500/БETАБ-25,爆炸物
B53,爆炸物
РБК-500/АО-2.5РТМ,爆炸物
КАБ-500КР,爆炸物
B57,爆炸物
КАБ-500Л,爆炸物
П-50T,爆炸物
ХАБ-250,爆炸物
A3,爆炸物
回天鱼雷,爆炸物
“魟鱼”,爆炸物
Mk50,爆炸物
Mk46,爆炸物
Mk44,爆炸物
65型,爆炸物
A244/S,爆炸物
MK20石眼式,爆炸物
BOLT-117 霹雳,爆炸物
Mk 80系列,爆炸物
迪兰达尔,爆炸物
CBU-87/B综合效应弹药子母炸弹,爆炸物
混凝土穿破者,爆炸物
“哈德斯”(HADES),爆炸物
РБK-500/ЗАБ-2.5ГP,爆炸物
巴普100,爆炸物
LU250EG-FT,爆炸物
GBU-39,爆炸物
РБK-500CПБЭ,爆炸物
FT-1,爆炸物
BLU-82滚球,爆炸物
MK84,爆炸物
南瓜炸弹,爆炸物
FT-3,爆炸物
BL755,爆炸物
CBU-55/B油气子母炸弹,爆炸物
250-4型,爆炸物
GPS,爆炸物
100-1型,爆炸物
250-3型,爆炸物
250-1型,爆炸物
GBU-57A/B,爆炸物
“天戈”系列激光制导炸弹,爆炸物
C4塑胶炸药,爆炸物
炸弹之母,爆炸物
“雷石”6（LS-6）制导滑翔炸弹,爆炸物
雷霆-3激光制导炸弹(LT-3),爆炸物
BLU-26/B,爆炸物
BLU-82 滚球,爆炸物
B-61核航空炸弹,爆炸物
飞腾5(FT-5)小直径精确制导炸弹,爆炸物
BLU-80/B,爆炸物
国产250高阻航空炸弹,爆炸物
7712激光制导炸弹,爆炸物
高脚柜,爆炸物
BSU-49/50/85/93,爆炸物
Mk-82蛇眼,爆炸物
BL-755型,爆炸物
BLU-3/B,爆炸物
MPR-500,爆炸物
滚筒炸弹/跳跃炸弹,爆炸物
AN602沙皇炸弹,爆炸物
РБK-500У/OФАБ-50УД,爆炸物
炸弹之父,爆炸物
加图尔(Gator)CBU-78/89子母雷,爆炸物
БЕТАБ-150ДС/500ШП,爆炸物
GBU-29/30制导炸弹,爆炸物
3Б-500ГД/ШМ,爆炸物
斯弗伍（SFW）CBU-97/B子母炸弹,爆炸物
白星眼（Walleye)电视制导炸弹,爆炸物
神剑MP22,爆炸物
КMГ-У /AO,爆炸物
巴特120,爆炸物
117/118型MK系列,爆炸物
250kg/400kg/1000kg,爆炸物
РБK-500/ПTАБ-1M,爆炸物
布姆400,爆炸物
卡斯卡德,爆炸物
贝加卢BLG66,爆炸物
БРAБ-200ЛС/220/500/1000,爆炸物
ФAБ-250/500ШЛ,爆炸物
ОФ3AБ-500,爆炸物
JP233,爆炸物
CBU-100/MK20石眼2,爆炸物
фAБ-M62,爆炸物
500/1000磅（227/454kg）MK系列,爆炸物
MK81/82Mod1 蛇眼,爆炸物
MK81/82/83/84,爆炸物
BLU-109/B 鼹鼠,爆炸物
B83,爆炸物
M117/118,爆炸物
BLU-97A/B 综合效应,爆炸物
BLU-24,爆炸物
C3B,爆炸物
CBU-24,爆炸物
天鲨（Skyshark）,爆炸物
威尔哥（Virgo）,爆炸物
BK-BR50/125/250/500,爆炸物
BRP/BRPS/FAS,爆炸物
КАБ-1500КР,爆炸物
КАБ-1500Л,爆炸物
AV-BP-250,爆炸物
塞伊（SEL）MK82/83/84,爆炸物
卡多恩MK81/82/83/84,爆炸物
AV-BAFG-120/250,爆炸物
阿布勒-250,爆炸物
AV-BI-220/250/375/400,爆炸物
布米330,爆炸物
巴尔布（BARB）,爆炸物
法马伊MK81/82/83/84,爆炸物
布尔法330,爆炸物
布耳,爆炸物
阿弗德斯,爆炸物
德伍斯-24/39,爆炸物
阿尔德,爆炸物
阿什,爆炸物
布尔普,爆炸物
布耳普斯,爆炸物
符布伍,爆炸物
阿尔法CB470,爆炸物
NTL90,爆炸物
虹鱼,爆炸物
Э45/Э53/АПСЭТ-95,爆炸物
“阿波尔”-2Э,爆炸物
TP42,爆炸物
海鳝,爆炸物
A-244/A-290,爆炸物
MU-90,爆炸物
L-4,爆炸物
TP43,爆炸物
G-RX-4,爆炸物
TP45,爆炸物
MK46,爆炸物
MK34/41,爆炸物
MK7/12/13/21/24/25/32,爆炸物
MK42/43,爆炸物
MK50,爆炸物
哈特托普操练鱼雷,爆炸物
Mk24,爆炸物
“米拉斯”舰潜导弹,爆炸物
SST-4,爆炸物
“伊卡拉”M1,爆炸物
Mk37-1,爆炸物
Mk-46,爆炸物
Mk48,爆炸物
A290,爆炸物
NT37F-2,爆炸物
89式,爆炸物
DM2A3,爆炸物
“矛鱼”,爆炸物
TP617,爆炸物
“玛拉丰”舰潜导弹,爆炸物
53-65KE反舰鱼雷,爆炸物
ET-52鱼雷,爆炸物
TEST-71反潜鱼雷,爆炸物
A184,爆炸物
PДC-6C,爆炸物
中国57/90/130mm系列,爆炸物
克尔夫7,爆炸物
C-13T,爆炸物
C-8KO/KOM,爆炸物
C-24Б,爆炸物
C-5(APC-57),爆炸物
说客70mm,爆炸物
富兹70,爆炸物
赫夫尔,爆炸物
海蛇怪70,爆炸物
妖怪AIR-2A/B,爆炸物
诅尼,爆炸物
TN90,爆炸物
潜地弹道导弹热核弹头,爆炸物
TN80/81,爆炸物
洲际弹道导弹热核弹头,爆炸物
TN60/61,爆炸物
“三叉戟”,爆炸物
海射巡航导弹热核战斗部,爆炸物
TN75/76,爆炸物
TN70/71,爆炸物
潜地弹道导弹热核弹头,爆炸物
斯纳布100,爆炸物
阿斯派德-1057,爆炸物
C-25ОФМ,爆炸物
多标枪68/100,爆炸物
斯纳布37,爆炸物
斯纳布68,爆炸物
博福斯135,爆炸物
HS 95手枪,枪械与单兵
HS 2000手枪,枪械与单兵
CZ100/101手枪,枪械与单兵
CZ 52手枪,枪械与单兵
CZ83手枪,枪械与单兵
雅利金“格拉奇”6P35手枪,枪械与单兵
CZ75手枪,枪械与单兵
92式手枪,枪械与单兵
“南部”14式,枪械与单兵
P117.62毫米水下手枪,枪械与单兵
9毫米P7M8和P＆M13手枪,枪械与单兵
EBP9毫米EP7手枪,枪械与单兵
联邦调查局（FBI）专用武器和战术手枪,枪械与单兵
美国海军陆战队MEU（SOC）0.45英寸手枪,枪械与单兵
瓦尔特9毫米P1型手枪,枪械与单兵
史密斯-韦森第3代9毫米手枪,枪械与单兵
格洛克26型手枪,枪械与单兵
斯太尔M1912手枪,枪械与单兵
史密斯-韦森第3代0.45英寸手枪,枪械与单兵
史密斯-韦森M39手枪,枪械与单兵
斯太尔SPP手枪,枪械与单兵
柯尔特政府型0.380英寸手枪,枪械与单兵
柯尔特M 1911/M 1911A1手枪,枪械与单兵
毛瑟1910/1934手枪,枪械与单兵
毛瑟HSC手枪,枪械与单兵
赫克勒-科赫SOCOM Mark 23M0d 0手枪,枪械与单兵
勃朗宁M1903手枪,枪械与单兵
斯普林菲尔德P9手枪,枪械与单兵
萨维奇手枪,枪械与单兵
赫克勒-科赫USP手枪,枪械与单兵
Fort 14 TP手枪,枪械与单兵
巴拉贝鲁姆P’08手枪,枪械与单兵
史密斯-韦森西格玛手枪,枪械与单兵
史密斯-韦森M59手枪,枪械与单兵
斯太尔M/S系列手枪,枪械与单兵
毛瑟M1912军用手枪,枪械与单兵
阿斯特拉A-75手枪,枪械与单兵
AMT Hardballer手枪,枪械与单兵
阿斯特拉A-100手枪,枪械与单兵
巴利斯特·莫利纳手枪,枪械与单兵
格洛克17型手枪,枪械与单兵
星式末格斯塔手枪,枪械与单兵
柯尔特双鹰手枪,枪械与单兵
鲁格GP100转轮手枪,枪械与单兵
西格-绍尔P228手枪,枪械与单兵
维尔德Mark1型手枪,枪械与单兵
IMBLE M973/MDl手枪,枪械与单兵
星式M40费尔斯塔手枪,枪械与单兵
鲁格警用6型转轮手枪,枪械与单兵
欧文•约翰逊安全自动转轮手枪,枪械与单兵
勃朗宁大威力Mark2手枪,枪械与单兵
0.45英寸1911A1型自动手枪,枪械与单兵
PA15 9毫米手枪,枪械与单兵
特种作战司令部（SOCOM）手枪,枪械与单兵
瓦尔特7.65毫米PP型手枪,枪械与单兵
瓦尔特9毫米P5型袖珍手枪,枪械与单兵
西格P225手枪,枪械与单兵
史密斯-韦森586/686转轮手枪,枪械与单兵
西格-绍尔P239手枪,枪械与单兵
帕拉军械公司P14手枪,枪械与单兵
阿尔克思94/98DA手枪,枪械与单兵
史密斯-韦森0.38/200英国制式转轮手枪,枪械与单兵
陶鲁斯PT52S手枪,枪械与单兵
史密斯-韦森M36官员专用转轮手枪,枪械与单兵
西格P210手枪,枪械与单兵
鲁格安全6型转轮手枪,枪械与单兵
西格-绍尔P229手枪,枪械与单兵
西格P220手枪,枪械与单兵
伯莱塔9毫米×19毫米92SB型手枪,枪械与单兵
9毫米FN BDA9手枪,枪械与单兵
斯太尔特种用途手枪（SPP）,枪械与单兵
FN赫斯塔尔5~7毫米五七手枪,枪械与单兵
FN9毫米大威力手枪,枪械与单兵
毛瑟C96,枪械与单兵
军用设备工业公司MDI0.45手枪,枪械与单兵
阿斯特拉A-50手枪,枪械与单兵
0.22RF85型匕首手枪,枪械与单兵
柯尔特巨蟒转轮手枪,枪械与单兵
柯尔特袖珍型转轮手枪,枪械与单兵
人民手枪,枪械与单兵
MP412 REX左轮手枪,枪械与单兵
Glock 17 手枪,枪械与单兵
阿斯特拉M900,枪械与单兵
勃朗宁大威力手枪,枪械与单兵
M1879,枪械与单兵
M9 手枪,枪械与单兵
9毫米×19毫米乌其手枪,枪械与单兵
80式冲锋手枪,枪械与单兵
CZ97B手枪,枪械与单兵
IMI 9杰里科(Jericho)手枪,枪械与单兵
MP-443乌鸦式手枪,枪械与单兵
54式手枪,枪械与单兵
丹•韦森转轮手枪,枪械与单兵
哈林顿-理查德森0.38英寸转轮手枪,枪械与单兵
阿斯特拉400手枪,枪械与单兵
大宇DP51手枪,枪械与单兵
西格P232手枪,枪械与单兵
西格P230手枪,枪械与单兵
普金斯-阿伦0.38英寸安全警用转轮手枪,枪械与单兵
维克托SP手枪,枪械与单兵
Kirrikale手枪,枪械与单兵
CZ100,枪械与单兵
HS95手枪,枪械与单兵
西格P226手枪,枪械与单兵
帕拉军工P14-45 0.45手枪,枪械与单兵
9毫米HS2000手枪,枪械与单兵
M70式手枪,枪械与单兵
司芬尼克斯AT2000/3000手枪,枪械与单兵
MTE224V和MTE224VA手枪,枪械与单兵
“凡安得”P-83手枪,枪械与单兵
9毫米K5手枪,枪械与单兵
伯莱塔93R型手枪,枪械与单兵
伯莱塔9毫米×19毫米92FS型自动装填手枪,枪械与单兵
7.62毫米PSS微声手枪,枪械与单兵
9毫米星式30M和30PK手枪,枪械与单兵
9毫米改进型马卡洛夫手枪PMM,枪械与单兵
阿斯特拉300手枪,枪械与单兵
阿斯特拉M960转轮手枪,枪械与单兵
柯尔特Mark IV 70/80系列手枪,枪械与单兵
鲁格标准型手枪,枪械与单兵
柯尔特军官用ACP/ACP LW手枪,枪械与单兵
赫克勒-科赫P9/P9S手枪,枪械与单兵
勃朗宁M1910手枪,枪械与单兵
Coonan手枪,枪械与单兵
鲁格P-85型手枪,枪械与单兵
赫克勒-科赫P7手枪,枪械与单兵
赫克勒-科赫HK4手枪,枪械与单兵
勃朗宁BDA380手枪,枪械与单兵
FN5-7手枪,枪械与单兵
阿斯特拉-卡迪克斯转轮手枪,枪械与单兵
俄罗斯M1895纳甘转轮手枪,枪械与单兵
阿斯特拉357警用转轮手枪,枪械与单兵
Lahti L-35手枪,枪械与单兵
魏劳奇 HW-9转轮手枪,枪械与单兵
马卡洛夫手枪,枪械与单兵
P-64手枪,枪械与单兵
波兰P-83式手枪,枪械与单兵
伯莱塔M951手枪,枪械与单兵
绍尔M38H手枪,枪械与单兵
拉德姆手枪,枪械与单兵
杰里科941式手枪,枪械与单兵
曼纽因MR73转轮手枪,枪械与单兵
陶鲁斯76转轮手枪,枪械与单兵
67式手枪,枪械与单兵
亚米纽斯M10转轮手枪,枪械与单兵
伯莱塔M84手枪,枪械与单兵
Liama Comanche转轮手枪,枪械与单兵
MAB PA-15手枪,枪械与单兵
史密斯-韦森安全无击锤转轮手枪,枪械与单兵
瓦尔特P5手枪,枪械与单兵
瓦尔特P38手枪,枪械与单兵
坦福利奥TA90手枪,枪械与单兵
瓦尔特PP手枪,枪械与单兵
瓦尔特P88手枪,枪械与单兵
史密斯-韦森手动退壳型转轮手枪,枪械与单兵
史密斯-韦森M29/629转轮手枪,枪械与单兵
瓦尔特PPK手枪,枪械与单兵
瓦尔特P99手枪,枪械与单兵
史密斯-韦森新世纪手动退壳型转轮手枪,枪械与单兵
史密斯-韦森625转轮手枪,枪械与单兵
史密斯-韦森M 1917转轮手枪,枪械与单兵
M60转轮手枪,枪械与单兵
沙漠之鹰手枪,枪械与单兵
史密斯-韦森军警用转轮手枪(M 10),枪械与单兵
解放者型手枪,枪械与单兵
0.455英寸MarkⅣ型转轮手枪,枪械与单兵
韦伯利Mark III型转轮手枪,枪械与单兵
恩菲尔德Mk I型转轮手枪,枪械与单兵
探险者转轮手枪,枪械与单兵
韦伯利0.455英寸MarkⅣ/V转轮手枪,枪械与单兵
柯尔特新型海军/陆军/海军陆战队转轮手枪,枪械与单兵
斗牛犬转轮手枪,枪械与单兵
柯尔特新制式转轮手枪,枪械与单兵
柯尔特蟒蛇转轮手枪,枪械与单兵
韦伯利0.455英寸WG型转轮手枪,枪械与单兵
韦伯利0.32英寸袖珍型转轮手枪,枪械与单兵
Ruby Extra转轮手枪,枪械与单兵
柯尔特特种侦探转轮手枪,枪械与单兵
柯尔特M1917转轮手枪,枪械与单兵
0.38英寸Mark IV型转轮手枪,枪械与单兵
柯尔特眼镜蛇转轮手枪,枪械与单兵
伯莱塔P×4“风暴”手枪,枪械与单兵
伯纳德利P-018,枪械与单兵
伯莱塔M93R手枪,枪械与单兵
PSM手枪,枪械与单兵
PSS微声手枪,枪械与单兵
SPP-1手枪,枪械与单兵
伯菜塔M92手枪,枪械与单兵
伯莱塔1934型手枪,枪械与单兵
弗兰基PA7、PA8E、PA8I式霰弹枪,枪械与单兵
伯奈利M4超级90霰弹枪,枪械与单兵
伯奈利M3可变式/M3T霰弹枪,枪械与单兵
伯奈利M1战术/战术M霰弹枪,枪械与单兵
尼奥斯戴德霰弹枪,枪械与单兵
FN警用霰弹枪,枪械与单兵
64式冲锋枪,枪械与单兵
SAF冲锋枪,枪械与单兵
斯特林L34A1冲锋枪,枪械与单兵
1985年式,枪械与单兵
大宇K7冲锋枪,枪械与单兵
赫克勒-科赫UMP冲锋枪,枪械与单兵
1985年式,枪械与单兵
pp2000冲锋枪,枪械与单兵
CBJ-MS冲锋枪,枪械与单兵
KRISS Vector冲锋枪,枪械与单兵
FBP冲锋枪,枪械与单兵
卢萨A2冲锋枪,枪械与单兵
P90TR冲锋枪,枪械与单兵
Bison-2冲锋枪,枪械与单兵
柯尔特冲锋枪,枪械与单兵
SR-2冲锋枪,枪械与单兵
斯特林冲锋枪,枪械与单兵
瓦尔特MPK/MPL冲锋枪,枪械与单兵
PPSH-41冲锋枪,枪械与单兵
PM-63（Wz63)冲锋枪,枪械与单兵
BXP冲锋枪,枪械与单兵
PM-84/98冲锋枪,枪械与单兵
KGP-9冲锋枪,枪械与单兵
CZ蝎式EVO 3 A1冲锋枪,枪械与单兵
MP38冲锋枪,枪械与单兵
UMP45冲锋枪,枪械与单兵
麦德森1946/1950型冲锋枪,枪械与单兵
JS9冲锋枪,枪械与单兵
Skorpion冲锋枪,枪械与单兵
CZ 25型冲锋枪,枪械与单兵
苏奥米M1931,枪械与单兵
卡尔•古斯塔夫45冲锋枪,枪械与单兵
阿格拉姆2000冲锋枪,枪械与单兵
ZAGI M91冲锋枪,枪械与单兵
鲁格MP-9冲锋枪,枪械与单兵
M3冲锋枪,枪械与单兵
ERO冲锋枪,枪械与单兵
56型冲锋枪,枪械与单兵
汤普森M1928/M1冲锋枪,枪械与单兵
赫克勒-科赫MP5K-PDW单兵自卫武器,枪械与单兵
司登Mark ⅡS冲锋枪,枪械与单兵
司登Mark 1冲锋枪,枪械与单兵
赫克勒-科赫MP5SD冲锋枪,枪械与单兵
英格拉姆轻型冲锋枪,枪械与单兵
司登Mark 2冲锋枪,枪械与单兵
乌齐冲锋枪,枪械与单兵
司登Mark V冲锋枪,枪械与单兵
伯莱塔12型冲锋枪,枪械与单兵
MGP-84冲锋枪,枪械与单兵
伯莱塔38/44型冲锋枪,枪械与单兵
PPS-43冲锋枪,枪械与单兵
赫克勒-科赫MP7单兵自卫武器,枪械与单兵
赫克勒-科赫MP5K冲锋枪,枪械与单兵
赫克勒-科赫MP5冲锋枪,枪械与单兵
星式Z-84冲锋枪,枪械与单兵
DS9A冲锋枪,枪械与单兵
玛特49冲锋枪,枪械与单兵
星式Z-62冲锋枪,枪械与单兵
萨纳77冲锋枪,枪械与单兵
97式霰弹枪(HAWK-12),枪械与单兵
温彻斯特M1887霰弹枪,枪械与单兵
北方工业98式霰弹枪,枪械与单兵
雷明登11-87霰弹枪,枪械与单兵
saiga-12 霰弹枪,枪械与单兵
Kel-Tec KSG霰弹枪,枪械与单兵
97式霰弹枪(HAWK-12),枪械与单兵
KS-23/KS-23M“特种卡宾枪,枪械与单兵
97式霰弹枪(HAWK-12),枪械与单兵
弗兰基SPAS15式霰弹枪,枪械与单兵
USAS12号自动霰弹枪,枪械与单兵
KS-23、KS-23M特种卡宾枪,枪械与单兵
K-50M冲锋枪,枪械与单兵
SAlGA-410霰弹枪,枪械与单兵
弗兰基SPAS12式霰弹枪,枪械与单兵
斯太尔MPi69冲锋枪,枪械与单兵
Arsenal石普卡冲锋枪,枪械与单兵
斯太尔AUG伞兵用冲锋枪,枪械与单兵
斯太尔-苏罗通MP34冲锋枪,枪械与单兵
维涅龙冲锋枪,枪械与单兵
布雷达37型重机枪,枪械与单兵
斯太尔TMP冲锋枪,枪械与单兵
MG34机枪,枪械与单兵
F1冲锋枪,枪械与单兵
日本99式机枪,枪械与单兵
赫斯塔尔P90冲锋枪,枪械与单兵
FMK Mod 2 冲锋枪,枪械与单兵
INSAS机枪,枪械与单兵
内格夫轻机枪,枪械与单兵
赫克勒-科赫HK21机枪,枪械与单兵
赫克勒-科赫HK13机枪,枪械与单兵
赫克勒-科赫MG4机枪,枪械与单兵
M249班用自动武器,枪械与单兵
布雷达30型轻机枪,枪械与单兵
MG42机枪,枪械与单兵
勃朗宁(大威力)1935型手枪,枪械与单兵
巴拉贝鲁P’08加长型手枪,枪械与单兵
莫斯伯格M9200A1式霰弹枪,枪械与单兵
C-MORE轻型霰弹枪系统,枪械与单兵
温彻斯特防卫者1300式霰弹枪,枪械与单兵
Ceiner Ultimate,枪械与单兵
雷明顿M870P霰弹枪,枪械与单兵
AS狙击步枪,枪械与单兵
赫克勒-科赫MSG90自动步枪,枪械与单兵
弥勒 0.38英寸特警用转轮手枪,枪械与单兵
Protecta转轮式霰弹枪,枪械与单兵
79式冲锋枪,枪械与单兵
柯尔特M1911/M1911A1手枪,枪械与单兵
64式手枪,枪械与单兵
杰帕德M3自动步枪,枪械与单兵
赫克勒-科赫PSG 1自动步枪,枪械与单兵
杰帕德M2/M2A1自动步枪,枪械与单兵
SR-99狙击步枪,枪械与单兵
PG M赫式忒Ⅱ步枪,枪械与单兵
FN 30-11狙击步枪,枪械与单兵
吉亚特FR-F1/FR-F2步枪,枪械与单兵
托卡M65-A308步枪,枪械与单兵
斯太尔-曼利夏SSG-69步枪,枪械与单兵
沙科TRG步枪,枪械与单兵
莫辛-纳甘步枪,枪械与单兵
九九式短步枪,枪械与单兵
